Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
BBSI,Voksel Electric Tbk.,12/20/1990,4155602595,Utama,Industrials,146,6.07E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBSS,Argo Pantes Tbk,1/7/1991,335557450,Pengembangan,Consumer Cyclicals,1070,3.59E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBTN,Sumi Indo Kabel Tbk.,1/21/1991,1224000000,Pengembangan,Industrials,206,2.52E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBYB,Asia Pacific Fibers Tbk,3/12/1991,2495753334,Pengembangan,Consumer Cyclicals,63,1.57E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BCAP,Charoen Pokphand Indonesia Tbk,3/18/1991,16398000000,Utama,Consumer Non-Cyclicals,5850,9.59E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BCIC,Pool Advista Indonesia Tbk.,5/20/1991,2341366264,Pengembangan,Financials,50,1.17E+11,,,4/16/2020 9:00,4/15/2022 16:00,4/16/2001,11/18/2022
BCIP,Resource Alam Indonesia Tbk.,7/1/1991,5000000000,Utama,Energy,496,2.48E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BDMN,Semen Indonesia (Persero) Tbk.,7/8/1991,5931520000,Utama,Basic Materials,7725,4.58E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BEBS,Modern Internasional Tbk.,7/16/1991,7632167798,Utama,Industrials,50,3.82E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BEEF,Nipress Tbk.,7/24/1991,1635333332,Pengembangan,Consumer Cyclicals,,,,,,,,
